Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99546165/salvage-2017-toyota-corolla-l-oh-akron,99546165,"11,594 USD",05/01/2026 03:00 pm GMT+1,2017,TOYT,COROLLA,1.8L  4,4,2T1BURHE3HC******,CERT OF TITLE-SALVAGE,"101,586 A",ACTUAL,REAR END,"2,900 USD",0 USD,71,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/90997595/clean-title-2017-nissan-altima-3-5sl-oh-akron,90997595,0 USD,05/01/2026 03:00 pm GMT+1,2017,NISS,ALTIMA,3.5L  6,6,1N4BL3AP5HC******,CERTIFICATE OF TITLE,"122,003 N",NOT ACTUAL,MECHANICAL,750 USD,0 USD,1104,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/81685195/clean-title-2016-ford-econoline-e350-super-duty-cutaway-van-oh-akron,81685195,"14,538 USD",05/01/2026 03:00 pm GMT+1,2016,FORD,ECONOLINE E350 SUPER DUTY CUTAWAY VAN,6.8L 10,10,1FDWE3FS5GD******,CERTIFICATE OF TITLE,"204,052 A",ACTUAL,MECHANICAL,0 USD,0 USD,822,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79767075/clean-title-2019-chrysler-pacifica-touring-l-oh-akron,79767075,0 USD,05/01/2026 03:00 pm GMT+1,2019,CHRY,PACIFICA,3.6L 6,6,2C4RC1BG2KR******,CERT OF TITLE-REPOSSESSION,"176,769 A",ACTUAL,STRIPPED,0 USD,0 USD,1142,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79400805/salvage-2024-bmw-230xi-oh-akron,79400805,"34,553 USD",05/01/2026 03:00 pm GMT+1,2024,BMW,230XI,2.0L 4,4,3MW33CM07R8******,CERT OF TITLE-SALVAGE,"18,120 A",ACTUAL,FRONT END,"6,500 USD",0 USD,48,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79117385/clean-title-2017-audi-q5-premium-oh-akron,79117385,0 USD,05/01/2026 03:00 pm GMT+1,2017,AUDI,Q5,2.0L 4,4,WA1C2AFPXHA******,CERT OF TITLE-REPOSSESSION (P),"151,360 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,67,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79043395/clean-title-2003-toyota-tacoma-prerunner-oh-akron,79043395,0 USD,05/01/2026 03:00 pm GMT+1,2003,TOYT,TACOMA,2.7L 4,4,5TESM92N83Z******,CERTIFICATE OF TITLE,"316,267 A",ACTUAL,FRONT END,"1,800 USD",0 USD,1136,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78956375/clean-title-2013-freigliner-cascadia-125-oh-akron,78956375,0 USD,05/01/2026 03:00 pm GMT+1,2013,FRHT,CASCADIA 125,14.8L 6,6,1FUJGLDRXDS******,CERTIFICATE OF TITLE (P),"908,470 A",ACTUAL,FRONT END,0 USD,0 USD,852,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78803475/salvage-2011-ford-fusion-sel-oh-akron,78803475,"3,952 USD",05/01/2026 03:00 pm GMT+1,2011,FORD,FUSION,3.0L 6,6,3FAHP0JGXBR******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,90 USD,0 USD,1137,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78588535/salvage-2024-toyota-camry-le-oh-akron,78588535,"20,665 USD",05/01/2026 03:00 pm GMT+1,2024,TOYT,CAMRY,2.5L 4,4,4T1C11AK6RU******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,80 USD,0 USD,1114,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78421575/clean-title-2017-land-rover-discovery-sport-se-oh-akron,78421575,0 USD,05/01/2026 03:00 pm GMT+1,2017,LAND,DISCOVERY SPORT,2.0L  4,4,SALCP2BGXHH******,CERTIFICATE OF TITLE,"177,909 A",ACTUAL,FRONT END,"1,800 USD",0 USD,1127,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78221615/clean-title-2011-toyota-tacoma-bas-oh-akron,78221615,"15,675 USD",05/01/2026 03:00 pm GMT+1,2011,TOYT,TACOMA BAS,4.0L  6,6,5TFUU4EN6BX******,CERTIFICATE OF TITLE,"150,518 A",ACTUAL,MECHANICAL,300 USD,0 USD,1134,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/77566565/clean-title-2015-cadillac-escalade-luxury-oh-akron,77566565,"17,925 USD",05/01/2026 03:00 pm GMT+1,2015,CADI,ESCALADE,6.2L  8,8,1GYS4MKJ3FR******,CERTIFICATE OF TITLE,"170,898 A",ACTUAL,FRONT END,90 USD,0 USD,1122,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/77272425/clean-title-2017-jaguar-f-pace-prestige-oh-akron,77272425,"10,700 USD",05/01/2026 03:00 pm GMT+1,2017,JAGU,F-PACE,3.0L  6,6,SADCK2BV9HA******,CERT OF TITLE-REPOSSESSION,"172,899 A",ACTUAL,MECHANICAL,80 USD,0 USD,1125,OH - AKRON,0,N/A,N/A
