Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/76737985/clean-title-2021-bmw-x7-m50i-oh-akron,76737985,0 USD,05/05/2026 03:00 pm GMT+1,2021,BMW,X7,4.4L  8,8,5UXCX6C08M9******,CERT OF TITLE-REPOSSESSION (P),"85,582 A",ACTUAL,MECHANICAL,0 USD,0 USD,50,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/76673415/clean-title-2019-kia-sportage-ex-oh-akron,76673415,0 USD,05/05/2026 03:00 pm GMT+1,2019,KIA,SPORTAGE,2.4L  4,4,KNDPNCAC5K7******,CERT OF TITLE-REPOSSESSION,"117,635 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,13,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/75781015/clean-title-2016-ford-explorer-xlt-oh-akron,75781015,0 USD,05/05/2026 03:00 pm GMT+1,2016,FORD,EXPLORER,3.5L  6,6,1FM5K8D87GG******,CERT OF TITLE-REPOSSESSION,"166,630 A",ACTUAL,MECHANICAL,0 USD,0 USD,1115,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/75462335/salvage-2002-toyota-corolla-oh-akron,75462335,"4,014 USD",05/05/2026 03:00 pm GMT+1,2002,TOYT,COROLLA,1.8L 4,4,2T1BR18E62C******,CERT OF TITLE-SALVAGE,"117,193 A",ACTUAL,REAR END,0 USD,0 USD,1108,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/74630945/clean-title-2013-toyota-venza-le-oh-akron,74630945,0 USD,05/05/2026 03:00 pm GMT+1,2013,TOYT,VENZA,2.7L  4,4,4T3ZA3BB8DU******,CERTIFICATE OF TITLE (P),"209,540 A",ACTUAL,FRONT END,90 USD,0 USD,58,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/74388175/clean-title-2007-hummer-h3-oh-akron,74388175,0 USD,05/05/2026 03:00 pm GMT+1,2007,HUMM,H3,3.7L  5,5,5GTDN13E178******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,SIDE,90 USD,0 USD,1129,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/74380065/clean-title-2019-ford-fusion-titanium-oh-akron,74380065,"15,525 USD",05/05/2026 03:00 pm GMT+1,2019,FORD,FUSION,2.0L  4,4,3FA6P0RU0KR******,CERT OF TITLE-REPOSSESSION,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,1105,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/73662955/clean-title-2015-ford-f150-supercrew-oh-akron,73662955,0 USD,05/05/2026 03:00 pm GMT+1,2015,FORD,F150,5.0L  8,8,1FTEW1EF9FF******,CERTIFICATE OF TITLE,"167,957 A",ACTUAL,MECHANICAL,90 USD,0 USD,1127,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/72814025/clean-title-2014-freightliner-cascadia-semi-truck-oh-akron,72814025,0 USD,05/05/2026 03:00 pm GMT+1,2014,FRHT,CASCADIA,14.8L  6,6,3AKJGLD67ES******,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,125 USD,0 USD,851,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/72627535/clean-title-2016-maserati-ghibli-oh-akron,72627535,"18,531 USD",05/05/2026 03:00 pm GMT+1,2016,MASE,GHIBLI,3.0L  6,6,ZAM57XSA6G1******,CERT OF TITLE-REPOSSESSION,"115,111 A",ACTUAL,MECHANICAL,850 USD,0 USD,1128,OH - AKRON,0,N/A,N/A
