Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/48153846/salvage-2017-nissan-altima-2-5-s-ct-hartford,48153846,"7,616 USD",04/21/2026 03:00 pm GMT+1,2017,NISS,ALTIMA,2.5L 4,4,1N4AL3AP5HC******,CERT OF TITLE-SALVAGE,"139,167 A",ACTUAL,FRONT END,475 USD,0 USD,195,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/48120906/clean-title-2013-audi-q5-premium-plus-ct-hartford,48120906,0 USD,04/21/2026 03:00 pm GMT+1,2013,AUDI,Q5,2.0L 4,4,WA1LFAFP4DA******,CERTIFICATE OF TITLE (P),"152,074 A",ACTUAL,MINOR DENT/SCRATCHES,450 USD,0 USD,2261,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/48106986/2019-ram-promaster-2500-2500-high-ct-hartford,48106986,0 USD,04/21/2026 03:00 pm GMT+1,2019,RAM,PROMASTER 2500,3.6L 6,6,3C6TRVDG9KE******,CERT OF TITLE-PARTS ONLY SALVA (P),0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,823,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/48101886/salvage-2010-honda-pilot-exl-ct-hartford,48101886,"3,447 USD",04/21/2026 03:00 pm GMT+1,2010,HOND,PILOT,3.5L 6,6,5FNYF4H5XAB******,CERT OF TITLE-SALVAGE,"202,801 A",ACTUAL,UNDERCARRIAGE,450 USD,0 USD,37,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/48060826/salvage-2017-nissan-rogue-s-ct-hartford,48060826,"10,287 USD",04/21/2026 03:00 pm GMT+1,2017,NISS,ROGUE,2.5L 4,4,JN8AT2MV6HW******,CERT OF TITLE-SALVAGE,"103,727 A",ACTUAL,FRONT END,475 USD,0 USD,81,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/48013796/clean-title-2004-dodge-ram-2500-st-ct-hartford,48013796,0 USD,04/21/2026 03:00 pm GMT+1,2004,DODG,RAM 2500,5.7L 8,8,1D7KU28D94J******,CERTIFICATE OF TITLE,"135,803 A",ACTUAL,MINOR DENT/SCRATCHES,475 USD,0 USD,2322,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/48008626/salvage-2020-ford-transit-t-350-cargo-van-***-prior-fleet-***-ct-hartford,48008626,"39,850 USD",04/21/2026 03:00 pm GMT+1,2020,FORD,TRANSIT,3.5L 6,6,1FTBW3X80LK******,CERT OF TITLE-SALVAGE,"107,430 A",ACTUAL,ALL OVER,"3,700 USD",0 USD,821,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/48001366/salvage-2017-volvo-s60-premier-ct-hartford,48001366,"12,070 USD",04/21/2026 03:00 pm GMT+1,2017,VOLV,S60,2.0L 4,4,LYV402TK6HB******,CERT OF TITLE-SALVAGE,"112,262 A",ACTUAL,SIDE,450 USD,0 USD,2301,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47977776/clean-title-2018-nissan-frontier-s-ct-hartford,47977776,0 USD,04/21/2026 03:00 pm GMT+1,2018,NISS,FRONTIER,2.5L 4,4,1N6BD0CTXJN******,CERTIFICATE OF TITLE,"93,868 A",ACTUAL,SIDE,525 USD,0 USD,2329,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47975786/salvage-2014-honda-odyssey-ex-ct-hartford,47975786,"8,481 USD",04/21/2026 03:00 pm GMT+1,2014,HOND,ODYSSEY,3.5L 6,6,5FNRL5H42EB******,CERT OF TITLE-SALVAGE,"129,304 A",ACTUAL,FRONT END,550 USD,0 USD,151,CT - HARTFORD,0,N/A,N/A
